comando,backend,ejemplo,n,iteracion,tiempo
prove,noirky2-bits,range/u8,5000,0,1.3741352558135986
prove,noirky2-bits,range/u8,5000,1,1.4101624488830566
prove,noirky2-bits,range/u8,5000,2,1.4867908954620361
prove,noirky2-bits,range/u8,5000,3,1.6159720420837402
prove,noirky2-bits,range/u8,5000,4,1.6782727241516113
prove,noirky2-bits,range/u8,5000,5,1.6998810768127441
prove,noirky2-bits,range/u8,5000,6,1.7929191589355469
prove,noirky2-bits,range/u8,5000,7,1.7180755138397217
prove,noirky2-bits,range/u8,5000,8,1.7399146556854248
prove,noirky2-bits,range/u8,5000,9,1.8516058921813965
prove,noirky2-bits,range/u8,5000,10,1.6721913814544678
prove,noirky2-bits,range/u8,5000,11,1.7174780368804932
prove,noirky2-bits,range/u8,5000,12,1.6669635772705078
prove,noirky2-bits,range/u8,5000,13,1.6604783535003662
prove,noirky2-bits,range/u8,5000,14,1.6621944904327393
prove,noirky2-bits,range/u8,10000,0,3.0996453762054443
prove,noirky2-bits,range/u8,10000,1,3.1233346462249756
prove,noirky2-bits,range/u8,10000,2,3.1592066287994385
prove,noirky2-bits,range/u8,10000,3,3.1350135803222656
prove,noirky2-bits,range/u8,10000,4,3.097083568572998
prove,noirky2-bits,range/u8,10000,5,3.148409605026245
prove,noirky2-bits,range/u8,10000,6,3.1251583099365234
prove,noirky2-bits,range/u8,10000,7,3.1673460006713867
prove,noirky2-bits,range/u8,10000,8,3.11875581741333
prove,noirky2-bits,range/u8,10000,9,3.0950381755828857
prove,noirky2-bits,range/u8,10000,10,3.1653990745544434
prove,noirky2-bits,range/u8,10000,11,3.1321678161621094
prove,noirky2-bits,range/u8,10000,12,3.111271619796753
prove,noirky2-bits,range/u8,10000,13,3.1472113132476807
prove,noirky2-bits,range/u8,10000,14,3.0630364418029785
prove,noirky2-bits,range/u8,100000,0,12.920403242111206
prove,noirky2-bits,range/u8,100000,1,13.420289516448975
prove,noirky2-bits,range/u8,100000,2,13.338982582092285
prove,noirky2-bits,range/u8,100000,3,13.192023515701294
prove,noirky2-bits,range/u8,100000,4,13.474561929702759
prove,noirky2-bits,range/u8,100000,5,13.378958225250244
prove,noirky2-bits,range/u8,100000,6,13.264814376831055
prove,noirky2-bits,range/u8,100000,7,13.508817195892334
prove,noirky2-bits,range/u8,100000,8,13.563300371170044
prove,noirky2-bits,range/u8,100000,9,13.460633754730225
prove,noirky2-bits,range/u8,100000,10,13.199937582015991
prove,noirky2-bits,range/u8,100000,11,13.32784914970398
prove,noirky2-bits,range/u8,100000,12,13.446394205093384
prove,noirky2-bits,range/u8,100000,13,13.239160299301147
prove,noirky2-bits,range/u8,100000,14,13.326234579086304
prove,noirky2-bits-nozk,range/u8,5000,0,0.6301639080047607
prove,noirky2-bits-nozk,range/u8,5000,1,0.6209719181060791
prove,noirky2-bits-nozk,range/u8,5000,2,0.6562807559967041
prove,noirky2-bits-nozk,range/u8,5000,3,0.6827597618103027
prove,noirky2-bits-nozk,range/u8,5000,4,0.638925313949585
prove,noirky2-bits-nozk,range/u8,5000,5,0.6544675827026367
prove,noirky2-bits-nozk,range/u8,5000,6,0.650698184967041
prove,noirky2-bits-nozk,range/u8,5000,7,0.6623616218566895
prove,noirky2-bits-nozk,range/u8,5000,8,0.6495490074157715
prove,noirky2-bits-nozk,range/u8,5000,9,0.6513080596923828
prove,noirky2-bits-nozk,range/u8,5000,10,0.6742863655090332
prove,noirky2-bits-nozk,range/u8,5000,11,0.638735294342041
prove,noirky2-bits-nozk,range/u8,5000,12,0.6532058715820312
prove,noirky2-bits-nozk,range/u8,5000,13,0.6181113719940186
prove,noirky2-bits-nozk,range/u8,5000,14,0.6064257621765137
prove,noirky2-bits-nozk,range/u8,10000,0,1.174067497253418
prove,noirky2-bits-nozk,range/u8,10000,1,1.1590800285339355
prove,noirky2-bits-nozk,range/u8,10000,2,1.1920599937438965
prove,noirky2-bits-nozk,range/u8,10000,3,1.1728293895721436
prove,noirky2-bits-nozk,range/u8,10000,4,1.1783313751220703
prove,noirky2-bits-nozk,range/u8,10000,5,1.2120561599731445
prove,noirky2-bits-nozk,range/u8,10000,6,1.2760801315307617
prove,noirky2-bits-nozk,range/u8,10000,7,1.1884806156158447
prove,noirky2-bits-nozk,range/u8,10000,8,1.1838586330413818
prove,noirky2-bits-nozk,range/u8,10000,9,1.2047631740570068
prove,noirky2-bits-nozk,range/u8,10000,10,1.2284481525421143
prove,noirky2-bits-nozk,range/u8,10000,11,1.2192916870117188
prove,noirky2-bits-nozk,range/u8,10000,12,1.2349724769592285
prove,noirky2-bits-nozk,range/u8,10000,13,1.193769931793213
prove,noirky2-bits-nozk,range/u8,10000,14,1.2102344036102295
prove,noirky2-bits-nozk,range/u8,100000,0,11.238415718078613
prove,noirky2-bits-nozk,range/u8,100000,1,11.777570486068726
prove,noirky2-bits-nozk,range/u8,100000,2,11.794528484344482
prove,noirky2-bits-nozk,range/u8,100000,3,11.71393084526062
prove,noirky2-bits-nozk,range/u8,100000,4,11.870030164718628
prove,noirky2-bits-nozk,range/u8,100000,5,11.809978246688843
prove,noirky2-bits-nozk,range/u8,100000,6,11.735549211502075
prove,noirky2-bits-nozk,range/u8,100000,7,11.74644136428833
prove,noirky2-bits-nozk,range/u8,100000,8,11.739437103271484
prove,noirky2-bits-nozk,range/u8,100000,9,11.702215671539307
prove,noirky2-bits-nozk,range/u8,100000,10,11.759656429290771
prove,noirky2-bits-nozk,range/u8,100000,11,11.755518913269043
prove,noirky2-bits-nozk,range/u8,100000,12,11.740160703659058
prove,noirky2-bits-nozk,range/u8,100000,13,11.716778755187988
prove,noirky2-bits-nozk,range/u8,100000,14,11.805132865905762
prove,bb,range/u8,5000,0,0.6384367942810059
prove,bb,range/u8,5000,1,0.6678242683410645
prove,bb,range/u8,5000,2,0.6523089408874512
prove,bb,range/u8,5000,3,0.647411584854126
prove,bb,range/u8,5000,4,0.6483316421508789
prove,bb,range/u8,5000,5,0.6464736461639404
prove,bb,range/u8,5000,6,0.6412458419799805
prove,bb,range/u8,5000,7,0.5872023105621338
prove,bb,range/u8,5000,8,0.5691821575164795
prove,bb,range/u8,5000,9,0.5677957534790039
prove,bb,range/u8,5000,10,0.5726480484008789
prove,bb,range/u8,5000,11,0.5734758377075195
prove,bb,range/u8,5000,12,0.5729801654815674
prove,bb,range/u8,5000,13,0.5725836753845215
prove,bb,range/u8,5000,14,0.5746762752532959
prove,bb,range/u8,10000,0,0.9575238227844238
prove,bb,range/u8,10000,1,0.9718351364135742
prove,bb,range/u8,10000,2,0.9753155708312988
prove,bb,range/u8,10000,3,0.97617506980896
prove,bb,range/u8,10000,4,0.9763519763946533
prove,bb,range/u8,10000,5,0.9774045944213867
