comando,backend,ejemplo,n,iteracion,tiempo
prove,noirky2-bits,assert_zero,100,0,1.2902393341064453
prove,noirky2-bits,assert_zero,100,1,1.305549144744873
prove,noirky2-bits,assert_zero,100,2,1.3510546684265137
prove,noirky2-bits,assert_zero,100,3,1.3297698497772217
prove,noirky2-bits,assert_zero,100,4,1.341869831085205
prove,noirky2-bits,assert_zero,100,5,1.3646397590637207
prove,noirky2-bits,assert_zero,100,6,1.343559741973877
prove,noirky2-bits,assert_zero,100,7,1.3556690216064453
prove,noirky2-bits,assert_zero,100,8,1.364074945449829
prove,noirky2-bits,assert_zero,100,9,1.3440706729888916
prove,noirky2-bits,assert_zero,100,10,1.346574068069458
prove,noirky2-bits,assert_zero,100,11,1.4147992134094238
prove,noirky2-bits,assert_zero,100,12,1.693711280822754
prove,noirky2-bits,assert_zero,100,13,1.6855778694152832
prove,noirky2-bits,assert_zero,100,14,1.6413600444793701
prove,noirky2-bits,assert_zero,100,15,1.6244940757751465
prove,noirky2-bits,assert_zero,100,16,1.637819528579712
prove,noirky2-bits,assert_zero,100,17,1.7234702110290527
prove,noirky2-bits,assert_zero,100,18,1.6293063163757324
prove,noirky2-bits,assert_zero,100,19,1.5989344120025635
prove,noirky2-bits,assert_zero,1000,0,1.6274425983428955
prove,noirky2-bits,assert_zero,1000,1,1.6678431034088135
prove,noirky2-bits,assert_zero,1000,2,1.654003381729126
prove,noirky2-bits,assert_zero,1000,3,1.6206796169281006
prove,noirky2-bits,assert_zero,1000,4,1.634526252746582
prove,noirky2-bits,assert_zero,1000,5,1.5996665954589844
prove,noirky2-bits,assert_zero,1000,6,1.609997034072876
prove,noirky2-bits,assert_zero,1000,7,1.6481726169586182
prove,noirky2-bits,assert_zero,1000,8,1.7084717750549316
prove,noirky2-bits,assert_zero,1000,9,1.6354353427886963
prove,noirky2-bits,assert_zero,1000,10,1.60738205909729
prove,noirky2-bits,assert_zero,1000,11,1.5893735885620117
prove,noirky2-bits,assert_zero,1000,12,1.667306661605835
prove,noirky2-bits,assert_zero,1000,13,1.5952847003936768
prove,noirky2-bits,assert_zero,1000,14,1.618377447128296
prove,noirky2-bits,assert_zero,1000,15,1.5935328006744385
prove,noirky2-bits,assert_zero,1000,16,1.6523773670196533
prove,noirky2-bits,assert_zero,1000,17,1.6382596492767334
prove,noirky2-bits,assert_zero,1000,18,1.6110358238220215
prove,noirky2-bits,assert_zero,1000,19,1.6093950271606445
prove,noirky2-bits,assert_zero,10000,0,1.7070159912109375
prove,noirky2-bits,assert_zero,10000,1,1.7022249698638916
prove,noirky2-bits,assert_zero,10000,2,1.7414922714233398
prove,noirky2-bits,assert_zero,10000,3,1.6922874450683594
prove,noirky2-bits,assert_zero,10000,4,1.7458841800689697
prove,noirky2-bits,assert_zero,10000,5,1.748629093170166
prove,noirky2-bits,assert_zero,10000,6,1.7154431343078613
prove,noirky2-bits,assert_zero,10000,7,1.7279419898986816
prove,noirky2-bits,assert_zero,10000,8,1.7246081829071045
prove,noirky2-bits,assert_zero,10000,9,1.68595552444458
prove,noirky2-bits,assert_zero,10000,10,1.7161157131195068
prove,noirky2-bits,assert_zero,10000,11,1.7348134517669678
prove,noirky2-bits,assert_zero,10000,12,1.7103898525238037
prove,noirky2-bits,assert_zero,10000,13,1.7060680389404297
prove,noirky2-bits,assert_zero,10000,14,1.6858046054840088
prove,noirky2-bits,assert_zero,10000,15,1.6736700534820557
prove,noirky2-bits,assert_zero,10000,16,1.7176878452301025
prove,noirky2-bits,assert_zero,10000,17,1.702662706375122
prove,noirky2-bits,assert_zero,10000,18,1.7196390628814697
prove,noirky2-bits,assert_zero,10000,19,1.6948275566101074
prove,noirky2-bits,assert_zero,100000,0,4.043313980102539
prove,noirky2-bits,assert_zero,100000,1,4.016786098480225
prove,noirky2-bits,assert_zero,100000,2,4.044674873352051
prove,noirky2-bits,assert_zero,100000,3,3.9757981300354004
prove,noirky2-bits,assert_zero,100000,4,3.9906089305877686
prove,noirky2-bits,assert_zero,100000,5,4.066112518310547
prove,noirky2-bits,assert_zero,100000,6,4.025482177734375
prove,noirky2-bits,assert_zero,100000,7,3.9895472526550293
prove,noirky2-bits,assert_zero,100000,8,4.044414758682251
prove,noirky2-bits,assert_zero,100000,9,4.0355000495910645
prove,noirky2-bits,assert_zero,100000,10,4.152412176132202
prove,noirky2-bits,assert_zero,100000,11,4.026055335998535
prove,noirky2-bits,assert_zero,100000,12,3.9743781089782715
prove,noirky2-bits,assert_zero,100000,13,4.089504241943359
prove,noirky2-bits,assert_zero,100000,14,4.048710823059082
prove,noirky2-bits,assert_zero,100000,15,4.0822858810424805
prove,noirky2-bits,assert_zero,100000,16,4.051013708114624
prove,noirky2-bits,assert_zero,100000,17,3.986304521560669
prove,noirky2-bits,assert_zero,100000,18,4.028979301452637
prove,noirky2-bits,assert_zero,100000,19,4.0132482051849365
prove,noirky2-bits,assert_zero,1000000,0,37.184900522232056
prove,noirky2-bits,assert_zero,1000000,1,38.779802322387695
prove,noirky2-bits,assert_zero,1000000,2,38.62336564064026
prove,noirky2-bits,assert_zero,1000000,3,39.06205439567566
prove,noirky2-bits,assert_zero,1000000,4,37.95623540878296
prove,noirky2-bits,assert_zero,1000000,5,38.23457479476929
prove,noirky2-bits,assert_zero,1000000,6,38.360875844955444
prove,noirky2-bits,assert_zero,1000000,7,39.099215507507324
prove,noirky2-bits,assert_zero,1000000,8,38.769145011901855
prove,noirky2-bits,assert_zero,1000000,9,38.48393893241882
prove,noirky2-bits,assert_zero,1000000,10,38.6464159488678
prove,noirky2-bits,assert_zero,1000000,11,37.98395276069641
prove,noirky2-bits,assert_zero,1000000,12,38.34315609931946
prove,noirky2-bits,assert_zero,1000000,13,38.33597683906555
prove,noirky2-bits,assert_zero,1000000,14,38.89464521408081
prove,noirky2-bits,assert_zero,1000000,15,39.318509578704834
prove,noirky2-bits,assert_zero,1000000,16,38.47750473022461
prove,noirky2-bits,assert_zero,1000000,17,38.16228914260864
prove,noirky2-bits,assert_zero,1000000,18,38.192330837249756
prove,noirky2-bits,assert_zero,1000000,19,38.550843477249146
prove,noirky2-bits-nozk,assert_zero,100,0,0.02981877326965332
prove,noirky2-bits-nozk,assert_zero,100,1,0.04089665412902832
prove,noirky2-bits-nozk,assert_zero,100,2,0.04091024398803711
prove,noirky2-bits-nozk,assert_zero,100,3,0.05774331092834473
prove,noirky2-bits-nozk,assert_zero,100,4,0.03927898406982422
prove,noirky2-bits-nozk,assert_zero,100,5,0.011540651321411133
prove,noirky2-bits-nozk,assert_zero,100,6,0.009170055389404297
prove,noirky2-bits-nozk,assert_zero,100,7,0.04221081733703613
prove,noirky2-bits-nozk,assert_zero,100,8,0.01769542694091797
prove,noirky2-bits-nozk,assert_zero,100,9,0.054849863052368164
