comando,backend,ejemplo,n,iteracion,tiempo
prove,noirky2-bits,assert_zero,1,0,2.4670333862304688
prove,noirky2-bits,assert_zero,10,0,1.9896037578582764
prove,noirky2-bits-nozk,assert_zero,1,0,0.014745235443115234
prove,noirky2-bits-nozk,assert_zero,10,0,0.03541684150695801
prove,bb,assert_zero,1,0,0.21872568130493164
prove,bb,assert_zero,10,0,0.20546913146972656
prove,noirky2-bits,memory,1,0,2.3031599521636963
prove,noirky2-bits,memory,10,0,2.370696544647217
prove,noirky2-bits-nozk,memory,1,0,0.03089594841003418
prove,noirky2-bits-nozk,memory,10,0,0.135880708694458
prove,bb,memory,1,0,0.250324010848999
prove,bb,memory,10,0,0.2916266918182373
prove,noirky2-bits,range/u8,1,0,2.1226093769073486
prove,noirky2-bits,range/u8,10,0,3.0623433589935303
prove,noirky2-bits-nozk,range/u8,1,0,0.012323141098022461
prove,noirky2-bits-nozk,range/u8,10,0,0.029480695724487305
prove,bb,range/u8,1,0,0.2610437870025635
prove,bb,range/u8,10,0,0.2668945789337158
prove,noirky2-limb,range/u8,1,0,2.386817455291748
prove,noirky2-limb,range/u8,10,0,2.661562204360962
prove,noirky2-limb-nozk,range/u8,1,0,0.1425304412841797
prove,noirky2-limb-nozk,range/u8,10,0,0.054962158203125
prove,noirky2-bits,range/u16,1,0,2.1018309593200684
prove,noirky2-bits,range/u16,10,0,2.7952709197998047
prove,noirky2-bits-nozk,range/u16,1,0,0.012295246124267578
prove,noirky2-bits-nozk,range/u16,10,0,0.03806781768798828
prove,bb,range/u16,1,0,0.7539973258972168
prove,bb,range/u16,10,0,0.7172935009002686
prove,noirky2-limb,range/u16,1,0,2.9398140907287598
prove,noirky2-limb,range/u16,10,0,2.595883846282959
prove,noirky2-limb-nozk,range/u16,1,0,0.028103113174438477
prove,noirky2-limb-nozk,range/u16,10,0,0.022040367126464844
prove,noirky2-bits,range/u32,1,0,1.9601292610168457
prove,noirky2-bits,range/u32,10,0,2.0157783031463623
prove,noirky2-bits-nozk,range/u32,1,0,0.025019407272338867
prove,noirky2-bits-nozk,range/u32,10,0,0.03836321830749512
prove,bb,range/u32,1,0,0.5686452388763428
prove,bb,range/u32,10,0,0.5080990791320801
prove,noirky2-limb,range/u32,1,0,2.810983419418335
prove,noirky2-limb,range/u32,10,0,2.5787270069122314
prove,noirky2-limb-nozk,range/u32,1,0,0.0284116268157959
prove,noirky2-limb-nozk,range/u32,10,0,0.05737924575805664
prove,noirky2-bits,xor/u8,1,0,2.7606046199798584
prove,noirky2-bits,xor/u8,10,0,2.0768046379089355
prove,noirky2-bits-nozk,xor/u8,1,0,0.018485307693481445
prove,noirky2-bits-nozk,xor/u8,10,0,0.02829432487487793
prove,bb,xor/u8,1,0,0.6946110725402832
prove,bb,xor/u8,10,0,0.6994824409484863
prove,noirky2-limb,xor/u8,1,0,2.142594814300537
prove,noirky2-limb,xor/u8,10,0,2.2601354122161865
prove,noirky2-limb-nozk,xor/u8,1,0,0.7091548442840576
prove,noirky2-limb-nozk,xor/u8,10,0,0.8928356170654297
prove,noirky2-bits,xor/u16,1,0,2.522958517074585
prove,noirky2-bits,xor/u16,10,0,2.1001577377319336
